time,H,He,C,N,O,Ne,Mg,Si,Fe
3348279.896915419,0.022605313778854507,0.009943615128282002,0.0006743072624541542,5.5279219811544384e-05,0.0003870583517675006,8.766426629766962e-05,2.4748458144803115e-05,4.1111816516022865e-05,5.2743659636710156e-05
3355302.3260204764,0.022593988886130945,0.010000375068761495,0.0006878354739676864,5.604924812873595e-05,0.00039208222536872203,8.879314113340249e-05,2.4807609235810277e-05,4.162642980913974e-05,5.306219916341599e-05
3362339.483437393,0.022582566814492753,0.010057171933653918,0.0007013468063905992,5.681913127103996e-05,0.0003971162263531956,8.992029776187628e-05,2.4866290598214236e-05,4.2144761420659266e-05,5.338267548597691e-05
3369391.4000562294,0.02257119203635736,0.010114050950573295,0.0007148408520835628,5.758896809265594e-05,0.0004021613755485899,9.10458944689195e-05,2.4924630558490744e-05,4.266697581171762e-05,5.3705355787340095e-05
3376458.106831807,0.022559969961193842,0.01017104456395949,0.0007283170651796411,5.8358819913153294e-05,0.00040721839058722775,9.217002511094893e-05,2.4982720331392586e-05,4.31932006311588e-05,5.403043859345683e-05
3383539.6347838957,0.02254890926153556,0.010228153605619352,0.0007417745741150675,5.91286558669739e-05,0.000412287240918353,9.329262542776931e-05,2.504055937388475e-05,4.372347207188625e-05,5.435795229001648e-05
3390636.0149972965,0.022537996395793167,0.010285371624262614,0.0007552124236015434,5.989842350701525e-05,0.00041736772274670675,9.441359407665246e-05,2.509812599321209e-05,4.425780548135905e-05,5.468788625401348e-05
3397747.2786220335,0.022526953798976432,0.010342605940400576,0.000768628788989377,6.0667819689084803e-05,0.0004224575934012472,9.553239986218772e-05,2.5155148235868945e-05,4.4795966253016246e-05,5.501976536415476e-05
3404873.4568734346,0.022515982477082964,0.010399920084787705,0.0007820233884755948,6.143699416144465e-05,0.00042755830058840413,9.66492878891426e-05,2.521180748171169e-05,4.533817342285635e-05,5.535395667797679e-05
3412014.581032324,0.022505830314555872,0.010457556098788796,0.0007953977048826068,6.220661427931457e-05,0.0004326755093773336,9.776539050095859e-05,2.526880316306097e-05,4.588516439103342e-05,5.569178962682361e-05
3419170.682445104,0.02249673463129765,0.01051558930495453,0.0008087515504227737,6.297686309057475e-05,0.00043781094377945916,9.888100971173038e-05,2.532635085505719e-05,4.6437193014718455e-05,5.6033695328882495e-05
3426341.792523941,0.022488369037108293,0.010573910955963252,0.0008220828939333861,6.374738897556444e-05,0.00044296197669728166,9.999553087377045e-05,2.538413192014562e-05,4.6993979255116715e-05,5.6379113074197314e-05
